,fips,lags
0,34003.0,0.0
1,12071.0,0.0
2,25017.0,0.0
3,13121.0,0.0
4,53061.0,0.0
5,53053.0,0.0
6,36119.0,0.0
7,33009.0,0.0
8,36061.0,0
9,53033.0,0.0
10,12081.0,0.0
11,21067.0,1.0
12,6037.0,1.0
13,6013.0,1.0
14,15003.0,1.0
15,45055.0,1.0
16,48157.0,1.0
17,41067.0,1.0
18,36059.0,1.0
19,13067.0,1.0
20,6001.0,2.0
21,48453.0,2.0
22,13135.0,2.0
23,36087.0,2.0
24,6067.0,2.0
25,6085.0,2.0
26,19103.0,2.0
27,8037.0,2.0
28,25003.0,2.0
29,6081.0,2.0
30,37183.0,2.0
31,6065.0,2.0
32,36079.0,2.0
33,6075.0,2.0
34,51059.0,3.0
35,24033.0,3.0
36,6061.0,3.0
37,25025.0,3.0
38,25021.0,3.0
39,8035.0,3.0
40,53035.0,3.0
41,42091.0,3.0
42,48085.0,3.0
43,4021.0,4.0
44,11001.0,4.0
45,53037.0,4.0
46,36103.0,4.0
47,8051.0,4.0
48,36111.0,4.0
49,13089.0,4.0
50,41043.0,5.0
51,12001.0,5.0
52,10003.0,5.0
53,47037.0,5.0
54,20091.0,5.0
55,12011.0,5.0
56,53057.0,5.0
57,6077.0,5.0
58,48113.0,5.0
59,47187.0,5.0
60,33015.0,5.0
61,32031.0,5.0
62,35049.0,5.0
63,2020.0,5.0
64,40143.0,5.0
65,8059.0,6.0
66,8041.0,6.0
67,53011.0,6.0
68,13057.0,6.0
69,6059.0,6.0
70,51095.0,6.0
71,26163.0,6.0
72,17097.0,6.0
73,29189.0,6.0
74,24005.0,6.0
75,6041.0,6.0
76,34013.0,6.0
77,41047.0,6.0
78,42045.0,6.0
79,9005.0,6.0
80,17031.0,6.0
81,9001.0,6.0
82,36071.0,6.0
83,22071.0,6.0
84,46099.0,6.0
85,27053.0,6.0
86,28035.0,6.0
87,35001.0,6.0
88,1101.0,6.0
89,32003.0,6.0
90,6111.0,6.0
91,12099.0,6.0
92,6107.0,6.0
93,39035.0,6.0
94,12086.0,6.0
95,53067.0,6.0
96,8031.0,6.0
97,13015.0,6.0
98,12127.0,6.0
99,51013.0,6.0
100,17089.0,7.0
101,26125.0,7.0
102,21111.0,7.0
103,37101.0,7.0
104,55063.0,7.0
105,13113.0,7.0
