,fips,lags
0,53053.0,3.0
1,36061.0,0
2,13121.0,3.0
3,25017.0,3.0
4,36119.0,3.0
5,12071.0,3.0
6,33009.0,3.0
7,34003.0,3.0
8,12081.0,3.0
9,53033.0,3.0
10,53061.0,3.0
11,41067.0,4.0
12,45055.0,4.0
13,15003.0,4.0
14,6037.0,4.0
15,13067.0,4.0
16,6013.0,4.0
17,21067.0,4.0
18,36059.0,4.0
19,48157.0,4.0
20,6067.0,5.0
21,25003.0,5.0
22,8037.0,5.0
23,6081.0,5.0
24,6085.0,5.0
25,6075.0,5.0
26,36087.0,5.0
27,6065.0,5.0
28,19103.0,5.0
29,37183.0,5.0
30,6001.0,5.0
31,6061.0,6.0
32,48085.0,6.0
33,8035.0,6.0
34,42091.0,6.0
35,24033.0,6.0
36,25021.0,6.0
37,21097.0,6.0
38,53035.0,6.0
39,51059.0,6.0
40,25025.0,6.0
41,46099.0,7.0
42,8051.0,7.0
43,11001.0,7.0
44,53037.0,7.0
45,36111.0,7.0
46,36103.0,7.0
47,4021.0,7.0
48,13089.0,7.0
49,18063.0,7.0
50,29039.0,7.0
51,13001.0,7.0
52,33015.0,8.0
53,53057.0,8.0
54,32031.0,8.0
55,6077.0,8.0
56,35049.0,8.0
57,20091.0,8.0
58,10003.0,8.0
59,12001.0,8.0
60,12011.0,8.0
61,47187.0,8.0
62,47037.0,8.0
63,40143.0,8.0
64,41043.0,8.0
65,48113.0,8.0
66,39035.0,9.0
67,34013.0,9.0
68,17097.0,9.0
69,13015.0,9.0
70,12086.0,9.0
71,51095.0,9.0
72,12099.0,9.0
73,32003.0,9.0
74,42045.0,9.0
75,35001.0,9.0
76,6041.0,9.0
77,6107.0,9.0
78,12127.0,9.0
79,6059.0,9.0
80,9001.0,9.0
81,36071.0,9.0
82,17031.0,9.0
83,8059.0,9.0
84,8041.0,9.0
85,13057.0,9.0
86,8031.0,9.0
87,41047.0,9.0
88,6111.0,9.0
89,9005.0,9.0
90,22071.0,9.0
91,51013.0,9.0
92,29189.0,9.0
93,1101.0,9.0
94,27053.0,9.0
95,53067.0,9.0
96,26163.0,9.0
97,24005.0,9.0
98,28035.0,9.0
99,21111.0,10.0
100,27145.0,10.0
101,41017.0,10.0
102,53029.0,10.0
103,1125.0,10.0
104,17089.0,10.0
105,56033.0,10.0
106,49035.0,10.0
107,8001.0,10.0
108,53063.0,10.0
109,24025.0,10.0
110,24031.0,10.0
111,13113.0,10.0
112,25009.0,10.0
113,36001.0,10.0
114,55025.0,10.0
115,55133.0,10.0
116,37101.0,10.0
117,39155.0,10.0
118,22051.0,10.0
119,22109.0,10.0
120,22017.0,10.0
121,55079.0,10.0
122,1073.0,10.0
123,26125.0,10.0
124,17111.0,10.0
125,48439.0,10.0
126,25027.0,11.0
127,12021.0,11.0
128,12019.0,11.0
129,12057.0,11.0
130,28029.0,11.0
131,39093.0,11.0
132,12031.0,11.0
133,13115.0,11.0
134,39017.0,11.0
135,8005.0,11.0
136,49043.0,11.0
137,8013.0,11.0
138,8123.0,11.0
139,27109.0,11.0
140,13185.0,11.0
141,55039.0,11.0
142,9003.0,11.0
143,34031.0,11.0
144,28109.0,11.0
145,39049.0,11.0
146,34005.0,11.0
147,12109.0,11.0
148,53011.0,11.0
149,23005.0,11.0
150,53031.0,11.0
151,12101.0,11.0
152,51107.0,11.0
153,42029.0,11.0
154,34025.0,11.0
155,34017.0,11.0
156,24003.0,11.0
157,42089.0,11.0
158,42101.0,11.0
159,5069.0,11.0
160,27123.0,11.0
161,34029.0,11.0
162,6073.0,11.0
163,39103.0,12.0
164,4019.0,12.0
165,30111.0,12.0
166,15009.0,12.0
167,27003.0,12.0
168,39151.0,12.0
169,18097.0,12.0
170,12117.0,12.0
171,45057.0,12.0
172,51510.0,12.0
173,8107.0,12.0
174,53025.0,12.0
175,55139.0,12.0
176,36055.0,12.0
177,41059.0,12.0
178,18067.0,12.0
179,34021.0,12.0
180,8045.0,12.0
181,29077.0,12.0
182,12097.0,12.0
183,4013.0,12.0
184,56013.0,12.0
185,19049.0,13.0
186,1051.0,13.0
187,37119.0,13.0
188,45051.0,13.0
189,42041.0,13.0
190,53007.0,13.0
191,34027.0,13.0
192,17043.0,13.0
193,41005.0,13.0
194,6113.0,13.0
195,27037.0,13.0
196,33011.0,13.0
197,13077.0,13.0
198,17027.0,13.0
199,49057.0,13.0
200,21173.0,13.0
201,28083.0,13.0
202,34019.0,13.0
203,53073.0,13.0
204,24510.0,13.0
205,36027.0,13.0
206,23001.0,13.0
207,42003.0,13.0
208,34039.0,13.0
209,48167.0,14.0
210,12069.0,14.0
211,17203.0,14.0
212,48121.0,14.0
213,27013.0,14.0
214,12103.0,14.0
215,17143.0,14.0
216,40027.0,14.0
217,39099.0,14.0
218,22087.0,14.0
219,40109.0,14.0
220,31107.0,14.0
221,22103.0,14.0
222,22057.0,14.0
223,33003.0,14.0
224,22033.0,14.0
225,34007.0,14.0
226,23015.0,14.0
227,34023.0,14.0
228,6069.0,14.0
229,24017.0,14.0
230,45013.0,14.0
231,21049.0,14.0
232,13117.0,14.0
233,37063.0,14.0
234,50007.0,14.0
235,36007.0,14.0
236,53077.0,14.0
237,37037.0,14.0
238,28047.0,14.0
239,13139.0,14.0
240,19153.0,14.0
241,36093.0,14.0
242,13223.0,14.0
243,40049.0,14.0
244,36083.0,14.0
245,49011.0,14.0
246,13217.0,14.0
247,13129.0,14.0
248,8069.0,14.0
249,13095.0,15.0
250,42095.0,15.0
251,16013.0,15.0
252,47157.0,15.0
253,13135.0,15.0
254,45045.0,15.0
255,46005.0,15.0
256,12073.0,15.0
257,31111.0,15.0
258,48141.0,15.0
259,22117.0,15.0
260,29510.0,15.0
261,23011.0,15.0
262,24027.0,15.0
263,29037.0,15.0
264,25001.0,15.0
265,26065.0,15.0
266,26081.0,15.0
267,26099.0,15.0
268,1089.0,15.0
269,1081.0,15.0
270,26115.0,15.0
271,26147.0,15.0
272,55117.0,15.0
273,27161.0,15.0
274,32510.0,15.0
275,51153.0,15.0
276,30049.0,15.0
277,50003.0,15.0
278,9009.0,15.0
279,6079.0,15.0
280,35043.0,15.0
281,36105.0,15.0
282,37019.0,15.0
283,38015.0,15.0
284,50017.0,15.0
285,37189.0,15.0
286,18141.0,15.0
287,37085.0,15.0
288,28089.0,16.0
289,37049.0,16.0
290,21199.0,16.0
291,45063.0,16.0
292,45079.0,16.0
293,38059.0,16.0
294,27139.0,16.0
295,25023.0,16.0
296,36091.0,16.0
297,29051.0,16.0
298,36067.0,16.0
299,22019.0,16.0
300,22055.0,16.0
301,13177.0,16.0
302,22089.0,16.0
303,22095.0,16.0
304,22121.0,16.0
305,29019.0,16.0
306,36041.0,16.0
307,29183.0,16.0
308,29095.0,16.0
309,45007.0,16.0
310,36057.0,16.0
311,13245.0,16.0
312,42001.0,16.0
313,20103.0,16.0
314,56039.0,16.0
315,42011.0,16.0
316,51199.0,16.0
317,4005.0,16.0
318,55087.0,16.0
319,6053.0,16.0
320,55089.0,16.0
321,48039.0,16.0
322,12105.0,16.0
323,47065.0,16.0
324,12095.0,16.0
325,48029.0,16.0
326,8117.0,16.0
327,5023.0,16.0
328,12131.0,16.0
329,6087.0,16.0
330,8097.0,16.0
331,55111.0,16.0
332,12015.0,16.0
333,48209.0,16.0
334,13059.0,16.0
335,8087.0,16.0
336,6019.0,16.0
337,56021.0,16.0
338,13063.0,16.0
339,50023.0,16.0
340,48309.0,16.0
341,13151.0,16.0
342,55063.0,16.0
343,48303.0,16.0
344,12061.0,16.0
345,51830.0,16.0
346,40117.0,17.0
347,40071.0,17.0
348,48061.0,17.0
349,25005.0,17.0
350,48049.0,17.0
351,41051.0,17.0
352,25013.0,17.0
353,48453.0,17.0
354,47155.0,17.0
355,1117.0,17.0
356,51087.0,17.0
357,47149.0,17.0
358,19183.0,17.0
359,54055.0,17.0
360,53039.0,17.0
361,40017.0,17.0
362,22105.0,17.0
363,38101.0,17.0
364,53005.0,17.0
365,30031.0,17.0
366,51710.0,17.0
367,31019.0,17.0
368,18167.0,17.0
369,39041.0,17.0
370,23017.0,17.0
371,22075.0,17.0
372,12017.0,17.0
373,2090.0,17.0
374,19005.0,17.0
375,51700.0,17.0
376,12091.0,17.0
