,fips,lags
0,13121.0,0.0
1,25017.0,0.0
2,4021.0,0.0
3,34003.0,0.0
4,53061.0,0.0
5,12071.0,0.0
6,33009.0,0.0
7,12081.0,0.0
8,36119.0,0.0
9,53033.0,0.0
10,53053.0,0.0
11,36061.0,0
12,41067.0,1.0
13,45055.0,1.0
14,15003.0,1.0
15,48157.0,1.0
16,13067.0,1.0
17,21067.0,1.0
18,36059.0,1.0
19,6013.0,1.0
20,6037.0,1.0
21,6001.0,2.0
22,25003.0,2.0
23,6065.0,2.0
24,6067.0,2.0
25,36087.0,2.0
26,37183.0,2.0
27,8037.0,2.0
28,6075.0,2.0
29,19103.0,2.0
30,6085.0,2.0
31,6081.0,2.0
32,48085.0,3.0
33,53035.0,3.0
34,8035.0,3.0
35,25025.0,3.0
36,25021.0,3.0
37,51059.0,3.0
38,24033.0,3.0
39,6061.0,3.0
40,42091.0,3.0
41,36103.0,4.0
42,11001.0,4.0
43,53037.0,4.0
44,13089.0,4.0
45,9001.0,4.0
46,46099.0,4.0
47,8051.0,4.0
48,18063.0,4.0
49,48113.0,5.0
50,36111.0,5.0
51,10003.0,5.0
52,41043.0,5.0
53,6077.0,5.0
54,47037.0,5.0
55,20091.0,5.0
56,32031.0,5.0
57,47187.0,5.0
58,35049.0,5.0
59,33015.0,5.0
60,45057.0,5.0
61,40143.0,5.0
62,12001.0,5.0
63,12011.0,5.0
64,8041.0,6.0
65,24005.0,6.0
66,28035.0,6.0
67,51095.0,6.0
68,13015.0,6.0
69,12127.0,6.0
70,6107.0,6.0
71,8031.0,6.0
72,51013.0,6.0
73,27053.0,6.0
74,6111.0,6.0
75,26163.0,6.0
76,39035.0,6.0
77,6059.0,6.0
78,9005.0,6.0
79,8059.0,6.0
80,12086.0,6.0
81,32003.0,6.0
82,36071.0,6.0
83,42045.0,6.0
84,1101.0,6.0
85,13057.0,6.0
86,35001.0,6.0
87,12099.0,6.0
88,34013.0,6.0
89,53067.0,6.0
90,22071.0,6.0
91,41047.0,6.0
92,41017.0,7.0
93,1125.0,7.0
94,55025.0,7.0
95,24031.0,7.0
96,1073.0,7.0
97,13113.0,7.0
98,27145.0,7.0
99,17111.0,7.0
100,8001.0,7.0
101,55133.0,7.0
102,24025.0,7.0
103,37101.0,7.0
104,49035.0,7.0
105,17089.0,7.0
106,22109.0,7.0
107,48439.0,7.0
108,21097.0,7.0
109,53063.0,7.0
110,56033.0,7.0
111,21111.0,7.0
112,22051.0,7.0
113,25009.0,7.0
114,53029.0,7.0
115,36001.0,7.0
116,53011.0,8.0
117,39017.0,8.0
118,23005.0,8.0
119,39049.0,8.0
120,24003.0,8.0
121,34031.0,8.0
122,12021.0,8.0
123,27123.0,8.0
124,49043.0,8.0
125,8013.0,8.0
126,8005.0,8.0
127,39093.0,8.0
128,42101.0,8.0
129,55039.0,8.0
130,5069.0,8.0
131,12019.0,8.0
132,25027.0,8.0
133,13115.0,8.0
134,51107.0,8.0
135,42089.0,8.0
136,13185.0,8.0
137,34017.0,8.0
138,6073.0,8.0
139,34025.0,8.0
140,8123.0,8.0
141,31055.0,8.0
142,34005.0,8.0
143,12031.0,8.0
144,51510.0,9.0
145,12097.0,9.0
146,12117.0,9.0
147,27003.0,9.0
148,39151.0,9.0
149,8045.0,9.0
150,36055.0,9.0
151,18067.0,9.0
152,53057.0,9.0
153,18097.0,9.0
154,29077.0,9.0
155,15009.0,9.0
156,22089.0,9.0
157,41059.0,9.0
158,41051.0,9.0
159,53025.0,9.0
160,4013.0,9.0
161,34021.0,9.0
162,55139.0,9.0
163,56013.0,9.0
164,24510.0,10.0
165,33011.0,10.0
166,34019.0,10.0
167,41005.0,10.0
168,17027.0,10.0
169,36027.0,10.0
170,34027.0,10.0
171,21173.0,10.0
172,49057.0,10.0
173,34039.0,10.0
174,17043.0,10.0
175,42041.0,10.0
176,28083.0,10.0
177,53073.0,10.0
178,23001.0,10.0
179,6113.0,10.0
180,45019.0,10.0
181,45051.0,10.0
182,37119.0,10.0
183,53007.0,10.0
184,12109.0,10.0
185,27037.0,10.0
186,19049.0,10.0
187,40071.0,10.0
188,22103.0,11.0
189,49011.0,11.0
190,22033.0,11.0
191,22017.0,11.0
192,50007.0,11.0
193,13139.0,11.0
194,13117.0,11.0
195,40027.0,11.0
196,23015.0,11.0
197,22087.0,11.0
198,40109.0,11.0
199,12103.0,11.0
200,51041.0,11.0
201,22057.0,11.0
202,45013.0,11.0
203,13129.0,11.0
204,48121.0,11.0
205,34035.0,11.0
206,24017.0,11.0
207,36093.0,11.0
208,36083.0,11.0
209,34023.0,11.0
210,48041.0,11.0
211,4019.0,11.0
212,17203.0,11.0
213,53077.0,11.0
214,17197.0,11.0
215,17167.0,11.0
216,36007.0,11.0
217,2020.0,11.0
218,31107.0,11.0
219,34007.0,11.0
220,55079.0,11.0
221,37037.0,11.0
222,1051.0,11.0
223,37063.0,11.0
224,48167.0,11.0
225,12069.0,11.0
226,42029.0,11.0
227,39103.0,11.0
228,39099.0,11.0
229,17097.0,11.0
230,21049.0,11.0
231,13217.0,11.0
232,21017.0,11.0
233,17143.0,11.0
234,13223.0,11.0
235,27013.0,11.0
236,56021.0,11.0
237,19153.0,11.0
238,34029.0,11.0
239,6069.0,11.0
240,28047.0,11.0
241,48209.0,11.0
242,6041.0,11.0
243,8069.0,11.0
244,33003.0,11.0
245,42003.0,12.0
246,17031.0,12.0
247,13135.0,12.0
248,16013.0,12.0
249,48141.0,12.0
250,45045.0,12.0
251,42095.0,12.0
252,47157.0,12.0
253,46005.0,12.0
254,18141.0,12.0
255,13095.0,12.0
256,26147.0,12.0
257,26161.0,12.0
258,38015.0,12.0
259,27161.0,12.0
260,37189.0,12.0
261,28029.0,12.0
262,37125.0,12.0
263,37097.0,12.0
264,37085.0,12.0
265,28109.0,12.0
266,26125.0,12.0
267,53031.0,12.0
268,36105.0,12.0
269,29037.0,12.0
270,29510.0,12.0
271,30049.0,12.0
272,36029.0,12.0
273,31111.0,12.0
274,32510.0,12.0
275,1089.0,12.0
276,1081.0,12.0
277,55117.0,12.0
278,36109.0,12.0
279,26115.0,12.0
280,6079.0,12.0
281,26099.0,12.0
282,50003.0,12.0
283,50017.0,12.0
284,22117.0,12.0
285,23011.0,12.0
286,12101.0,12.0
287,8101.0,12.0
288,12073.0,12.0
289,24027.0,12.0
290,12057.0,12.0
291,51153.0,12.0
292,9003.0,12.0
293,26081.0,12.0
294,9007.0,12.0
295,26065.0,12.0
296,9009.0,12.0
297,25001.0,12.0
298,36067.0,13.0
299,36057.0,13.0
300,22121.0,13.0
301,47065.0,13.0
302,36041.0,13.0
303,42001.0,13.0
304,30111.0,13.0
305,36019.0,13.0
306,20103.0,13.0
307,32007.0,13.0
308,22095.0,13.0
309,22055.0,13.0
310,21227.0,13.0
311,36069.0,13.0
312,22019.0,13.0
313,29051.0,13.0
314,28045.0,13.0
315,25023.0,13.0
316,28089.0,13.0
317,37067.0,13.0
318,42011.0,13.0
319,37049.0,13.0
320,29095.0,13.0
321,45063.0,13.0
322,45079.0,13.0
323,29019.0,13.0
324,38059.0,13.0
325,27139.0,13.0
326,27109.0,13.0
327,36091.0,13.0
328,21199.0,13.0
329,36079.0,13.0
330,56039.0,13.0
331,48303.0,13.0
332,6019.0,13.0
333,6053.0,13.0
334,6087.0,13.0
335,51830.0,13.0
336,50023.0,13.0
337,13245.0,13.0
338,8049.0,13.0
339,8087.0,13.0
340,8097.0,13.0
341,8107.0,13.0
342,48309.0,13.0
343,8117.0,13.0
344,51199.0,13.0
345,10005.0,13.0
346,12015.0,13.0
347,48453.0,13.0
348,48485.0,13.0
349,12061.0,13.0
350,13177.0,13.0
351,12095.0,13.0
352,12105.0,13.0
353,13151.0,13.0
354,12131.0,13.0
355,13059.0,13.0
356,13077.0,13.0
357,5023.0,13.0
358,4005.0,13.0
359,13063.0,13.0
360,55111.0,13.0
361,48039.0,13.0
362,55089.0,13.0
363,55087.0,13.0
364,16081.0,14.0
365,12091.0,14.0
366,51710.0,14.0
367,18003.0,14.0
368,34009.0,14.0
369,2090.0,14.0
370,38101.0,14.0
371,51700.0,14.0
372,39153.0,14.0
373,23017.0,14.0
374,54055.0,14.0
375,27099.0,14.0
376,8019.0,14.0
377,2122.0,14.0
378,21059.0,14.0
379,55105.0,14.0
380,19183.0,14.0
381,47149.0,14.0
382,47063.0,14.0
383,42125.0,14.0
384,13215.0,14.0
385,25005.0,14.0
386,33013.0,14.0
387,42071.0,14.0
388,20209.0,14.0
389,42077.0,14.0
390,42079.0,14.0
391,21117.0,14.0
392,27171.0,14.0
393,26037.0,14.0
394,39109.0,14.0
395,1117.0,14.0
396,39041.0,14.0
397,12053.0,14.0
398,55009.0,14.0
399,26093.0,14.0
400,35043.0,14.0
401,31109.0,14.0
402,26049.0,14.0
403,18019.0,14.0
404,48219.0,14.0
405,13277.0,14.0
406,22105.0,14.0
407,28033.0,14.0
408,16001.0,14.0
409,40049.0,14.0
410,50001.0,14.0
411,13051.0,14.0
412,53039.0,14.0
413,22075.0,14.0
414,28113.0,14.0
415,41039.0,14.0
416,47045.0,14.0
417,48061.0,14.0
418,48049.0,14.0
419,13097.0,14.0
420,1043.0,14.0
421,13073.0,14.0
422,30031.0,14.0
423,50021.0,14.0
424,47043.0,14.0
425,16065.0,14.0
426,28121.0,14.0
427,51087.0,14.0
428,13285.0,14.0
429,19013.0,14.0
430,6083.0,14.0
431,28037.0,14.0
432,22005.0,14.0
433,28049.0,14.0
434,28093.0,14.0
435,12115.0,14.0
436,28059.0,14.0
437,18167.0,14.0
438,12017.0,14.0
439,2130.0,14.0
440,49051.0,14.0
441,53005.0,14.0
442,28081.0,14.0
443,6029.0,14.0
444,40017.0,14.0
445,45085.0,14.0
446,12111.0,15.0
447,51177.0,15.0
448,23023.0,15.0
449,33017.0,15.0
450,24047.0,15.0
451,39113.0,15.0
452,50025.0,15.0
453,12033.0,15.0
454,55131.0,15.0
455,36025.0,15.0
456,55035.0,15.0
457,6055.0,15.0
458,37081.0,15.0
459,53009.0,15.0
460,37071.0,15.0
461,5143.0,15.0
462,37025.0,15.0
463,28147.0,15.0
464,28051.0,15.0
465,28159.0,15.0
466,5051.0,15.0
467,5045.0,15.0
468,36017.0,15.0
469,29189.0,15.0
470,36043.0,15.0
471,4025.0,15.0
472,54037.0,15.0
473,5119.0,15.0
474,28043.0,15.0
475,27163.0,15.0
476,6099.0,15.0
477,12009.0,15.0
478,51179.0,15.0
479,12003.0,15.0
480,1115.0,15.0
481,26025.0,15.0
482,39085.0,15.0
483,9013.0,15.0
484,51540.0,15.0
485,26111.0,15.0
486,26139.0,15.0
487,39025.0,15.0
488,27019.0,15.0
489,39007.0,15.0
490,38069.0,15.0
491,51810.0,15.0
492,27091.0,15.0
493,27103.0,15.0
494,25015.0,15.0
495,17093.0,15.0
496,34037.0,15.0
497,18057.0,15.0
498,18081.0,15.0
499,42007.0,15.0
500,13225.0,15.0
501,13171.0,15.0
502,47047.0,15.0
503,49045.0,15.0
504,20015.0,15.0
505,41071.0,15.0
506,19085.0,15.0
507,48339.0,15.0
508,21101.0,15.0
