,fips,lags
0,25017.0,0.0
1,12081.0,0.0
2,12071.0,0.0
3,33009.0,0.0
4,53053.0,0.0
5,36061.0,0
6,53061.0,0.0
7,34003.0,0.0
8,36119.0,0.0
9,53033.0,0.0
10,13121.0,0.0
11,36059.0,1.0
12,6037.0,1.0
13,13067.0,1.0
14,6013.0,1.0
15,41067.0,1.0
16,15003.0,1.0
17,21067.0,1.0
18,45055.0,1.0
19,48157.0,1.0
20,25003.0,2.0
21,13135.0,2.0
22,6085.0,2.0
23,6081.0,2.0
24,8037.0,2.0
25,6075.0,2.0
26,36087.0,2.0
27,37183.0,2.0
28,19103.0,2.0
29,6065.0,2.0
30,6067.0,2.0
31,6001.0,2.0
32,25025.0,3.0
33,25021.0,3.0
34,48085.0,3.0
35,6061.0,3.0
36,51059.0,3.0
37,21097.0,3.0
38,24033.0,3.0
39,42091.0,3.0
40,8035.0,3.0
41,53035.0,3.0
42,18063.0,4.0
43,46099.0,4.0
44,8051.0,4.0
45,4021.0,4.0
46,9001.0,4.0
47,53037.0,4.0
48,36103.0,4.0
49,11001.0,4.0
50,13089.0,4.0
51,33015.0,5.0
52,53057.0,5.0
53,47037.0,5.0
54,32031.0,5.0
55,20091.0,5.0
56,12011.0,5.0
57,12001.0,5.0
58,41043.0,5.0
59,48113.0,5.0
60,10003.0,5.0
61,35049.0,5.0
62,47187.0,5.0
63,40143.0,5.0
64,6077.0,5.0
65,6111.0,6.0
66,12099.0,6.0
67,12127.0,6.0
68,13015.0,6.0
69,34013.0,6.0
70,22071.0,6.0
71,24005.0,6.0
72,13057.0,6.0
73,6041.0,6.0
74,36111.0,6.0
75,36071.0,6.0
76,35001.0,6.0
77,8059.0,6.0
78,8041.0,6.0
79,51095.0,6.0
80,8031.0,6.0
81,51013.0,6.0
82,6059.0,6.0
83,9005.0,6.0
84,6107.0,6.0
85,12086.0,6.0
86,1101.0,6.0
87,42045.0,6.0
88,32003.0,6.0
89,17031.0,6.0
90,27053.0,6.0
91,39035.0,6.0
92,26163.0,6.0
93,29189.0,6.0
94,41047.0,6.0
95,17097.0,6.0
96,53067.0,6.0
97,28035.0,6.0
98,55133.0,7.0
99,49035.0,7.0
100,55025.0,7.0
101,27145.0,7.0
102,41017.0,7.0
103,22017.0,7.0
104,1125.0,7.0
105,25009.0,7.0
106,21111.0,7.0
107,36001.0,7.0
108,53029.0,7.0
109,1073.0,7.0
110,37101.0,7.0
111,22109.0,7.0
112,24025.0,7.0
113,26125.0,7.0
114,22051.0,7.0
115,48439.0,7.0
116,8001.0,7.0
117,17111.0,7.0
118,24031.0,7.0
119,53063.0,7.0
120,13113.0,7.0
121,17089.0,7.0
122,39155.0,7.0
123,56033.0,7.0
124,42101.0,8.0
125,49043.0,8.0
126,8013.0,8.0
127,5069.0,8.0
128,28029.0,8.0
129,42089.0,8.0
130,34031.0,8.0
131,13115.0,8.0
132,24003.0,8.0
133,55039.0,8.0
134,8005.0,8.0
135,39093.0,8.0
136,8123.0,8.0
137,51107.0,8.0
138,53031.0,8.0
139,53011.0,8.0
140,13185.0,8.0
141,23005.0,8.0
142,12031.0,8.0
143,27123.0,8.0
144,34025.0,8.0
145,12021.0,8.0
146,34017.0,8.0
147,39049.0,8.0
148,39017.0,8.0
149,28109.0,8.0
150,12109.0,8.0
151,12019.0,8.0
152,25027.0,8.0
153,6073.0,8.0
154,34005.0,8.0
155,51510.0,9.0
156,53025.0,9.0
157,27003.0,9.0
158,45057.0,9.0
159,36055.0,9.0
160,8045.0,9.0
161,29077.0,9.0
162,22089.0,9.0
163,55139.0,9.0
164,12117.0,9.0
165,34021.0,9.0
166,12097.0,9.0
167,15009.0,9.0
168,4019.0,9.0
169,18067.0,9.0
170,4013.0,9.0
171,18097.0,9.0
172,39151.0,9.0
173,41059.0,9.0
174,39103.0,9.0
175,56013.0,9.0
176,36027.0,10.0
177,41005.0,10.0
178,42003.0,10.0
179,1051.0,10.0
180,23001.0,10.0
181,28083.0,10.0
182,42041.0,10.0
183,53007.0,10.0
184,34019.0,10.0
185,49057.0,10.0
186,37119.0,10.0
187,33011.0,10.0
188,27037.0,10.0
189,45051.0,10.0
190,21173.0,10.0
191,34027.0,10.0
192,53073.0,10.0
193,17027.0,10.0
194,6113.0,10.0
195,19049.0,10.0
196,24510.0,10.0
197,34039.0,10.0
198,17043.0,10.0
199,17203.0,11.0
200,40109.0,11.0
201,17143.0,11.0
202,21017.0,11.0
203,37063.0,11.0
204,13223.0,11.0
205,37037.0,11.0
206,12103.0,11.0
207,13217.0,11.0
208,21049.0,11.0
209,48041.0,11.0
210,42029.0,11.0
211,22103.0,11.0
212,19153.0,11.0
213,22033.0,11.0
214,40027.0,11.0
215,48167.0,11.0
216,36093.0,11.0
217,22057.0,11.0
218,13139.0,11.0
219,45013.0,11.0
220,39099.0,11.0
221,36083.0,11.0
222,13129.0,11.0
223,48121.0,11.0
224,22087.0,11.0
225,13117.0,11.0
226,23015.0,11.0
227,34029.0,11.0
228,49011.0,11.0
229,27013.0,11.0
230,2020.0,11.0
231,6069.0,11.0
232,28047.0,11.0
233,36007.0,11.0
234,31107.0,11.0
235,51041.0,11.0
236,55079.0,11.0
237,34023.0,11.0
238,33003.0,11.0
239,8069.0,11.0
240,50007.0,11.0
241,53077.0,11.0
242,12069.0,11.0
243,34007.0,11.0
244,24017.0,11.0
245,16013.0,12.0
246,25001.0,12.0
247,6079.0,12.0
248,13095.0,12.0
249,47157.0,12.0
250,50017.0,12.0
251,45045.0,12.0
252,26099.0,12.0
253,38015.0,12.0
254,26161.0,12.0
255,37189.0,12.0
256,36105.0,12.0
257,36109.0,12.0
258,32510.0,12.0
259,51153.0,12.0
260,37019.0,12.0
261,26147.0,12.0
262,26065.0,12.0
263,46005.0,12.0
264,37097.0,12.0
265,26081.0,12.0
266,37085.0,12.0
267,31111.0,12.0
268,27161.0,12.0
269,50003.0,12.0
270,30049.0,12.0
271,12073.0,12.0
272,22117.0,12.0
273,12101.0,12.0
274,55117.0,12.0
275,12057.0,12.0
276,36029.0,12.0
277,29037.0,12.0
278,23011.0,12.0
279,24027.0,12.0
280,48141.0,12.0
281,1081.0,12.0
282,1089.0,12.0
283,9009.0,12.0
284,9007.0,12.0
285,26115.0,12.0
286,35043.0,12.0
287,42095.0,12.0
288,9003.0,12.0
289,18141.0,12.0
290,29510.0,12.0
291,28089.0,13.0
292,37067.0,13.0
293,13245.0,13.0
294,30111.0,13.0
295,45007.0,13.0
296,51830.0,13.0
297,42001.0,13.0
298,17201.0,13.0
299,20103.0,13.0
300,55111.0,13.0
301,42103.0,13.0
302,5023.0,13.0
303,42007.0,13.0
304,27109.0,13.0
305,42011.0,13.0
306,29019.0,13.0
