,fips,lags
0,53053.0,1.0
1,25017.0,1.0
2,34003.0,1.0
3,53061.0,1.0
4,53033.0,1.0
5,12071.0,1.0
6,12081.0,1.0
7,13121.0,1.0
8,36119.0,1.0
9,33009.0,1.0
10,36061.0,0
11,6013.0,2.0
12,15003.0,2.0
13,41067.0,2.0
14,13067.0,2.0
15,48157.0,2.0
16,36059.0,2.0
17,6037.0,2.0
18,21067.0,2.0
19,45055.0,2.0
20,6001.0,3.0
21,8037.0,3.0
22,6075.0,3.0
23,6067.0,3.0
24,19103.0,3.0
25,6081.0,3.0
26,6085.0,3.0
27,25003.0,3.0
28,6065.0,3.0
29,37183.0,3.0
30,36087.0,3.0
31,42091.0,4.0
32,25025.0,4.0
33,51059.0,4.0
34,25021.0,4.0
35,53035.0,4.0
36,8035.0,4.0
37,48085.0,4.0
38,24033.0,4.0
39,21097.0,4.0
40,6061.0,4.0
41,4021.0,5.0
42,53037.0,5.0
43,8051.0,5.0
44,18063.0,5.0
45,9001.0,5.0
46,11001.0,5.0
47,13089.0,5.0
48,36103.0,5.0
49,46099.0,5.0
50,41043.0,6.0
51,12001.0,6.0
52,35049.0,6.0
53,33015.0,6.0
54,12011.0,6.0
55,40143.0,6.0
56,48113.0,6.0
57,47187.0,6.0
58,6077.0,6.0
59,10003.0,6.0
60,47037.0,6.0
61,20091.0,6.0
62,53057.0,6.0
63,32031.0,6.0
64,53011.0,7.0
65,27053.0,7.0
66,34013.0,7.0
67,28035.0,7.0
68,12127.0,7.0
69,24005.0,7.0
70,6041.0,7.0
71,9005.0,7.0
72,13015.0,7.0
73,8031.0,7.0
74,41047.0,7.0
75,8041.0,7.0
76,8059.0,7.0
77,13057.0,7.0
78,36111.0,7.0
79,53067.0,7.0
80,1101.0,7.0
81,51095.0,7.0
82,42045.0,7.0
83,6059.0,7.0
84,22071.0,7.0
85,29189.0,7.0
86,12086.0,7.0
87,12099.0,7.0
88,39035.0,7.0
89,36071.0,7.0
90,51013.0,7.0
91,32003.0,7.0
92,6107.0,7.0
93,6111.0,7.0
94,35001.0,7.0
95,26163.0,7.0
96,39155.0,8.0
