,fips,lags
0,13121.0,2.0
1,34003.0,2.0
2,53061.0,2.0
3,36119.0,2.0
4,25017.0,2.0
5,33009.0,2.0
6,12081.0,2.0
7,12071.0,2.0
8,53033.0,2.0
9,53053.0,2.0
10,36061.0,0
11,21067.0,3.0
12,48157.0,3.0
13,13067.0,3.0
14,36059.0,3.0
15,45055.0,3.0
16,6037.0,3.0
17,15003.0,3.0
18,41067.0,3.0
19,6013.0,3.0
20,13135.0,4.0
21,36087.0,4.0
22,6075.0,4.0
23,25003.0,4.0
24,19103.0,4.0
25,48453.0,4.0
26,37183.0,4.0
27,8037.0,4.0
28,6001.0,4.0
29,6067.0,4.0
30,6085.0,4.0
31,6065.0,4.0
32,6081.0,4.0
33,42091.0,5.0
34,24033.0,5.0
35,25021.0,5.0
36,51059.0,5.0
37,6061.0,5.0
38,53035.0,5.0
39,8035.0,5.0
40,48085.0,5.0
41,25025.0,5.0
42,36103.0,6.0
43,4021.0,6.0
44,36111.0,6.0
45,29039.0,6.0
46,53037.0,6.0
47,13089.0,6.0
48,46099.0,6.0
49,11001.0,6.0
50,8051.0,6.0
51,33015.0,7.0
52,12011.0,7.0
53,53057.0,7.0
54,12001.0,7.0
55,20091.0,7.0
56,10003.0,7.0
57,32031.0,7.0
58,35049.0,7.0
59,40143.0,7.0
60,6077.0,7.0
61,47037.0,7.0
62,47187.0,7.0
63,41043.0,7.0
64,48113.0,7.0
65,2020.0,7.0
66,28035.0,8.0
67,53011.0,8.0
68,26163.0,8.0
69,9001.0,8.0
70,29189.0,8.0
71,17031.0,8.0
72,51013.0,8.0
73,32003.0,8.0
74,8059.0,8.0
75,41047.0,8.0
76,8041.0,8.0
77,8031.0,8.0
78,51095.0,8.0
79,6041.0,8.0
80,6111.0,8.0
81,6107.0,8.0
82,6059.0,8.0
83,35001.0,8.0
84,39035.0,8.0
85,22071.0,8.0
86,42045.0,8.0
87,1101.0,8.0
88,9005.0,8.0
89,36071.0,8.0
90,12127.0,8.0
91,13015.0,8.0
92,12099.0,8.0
93,12086.0,8.0
94,53067.0,8.0
95,34013.0,8.0
96,13057.0,8.0
97,17097.0,8.0
98,27053.0,8.0
99,24005.0,8.0
100,1073.0,9.0
101,26125.0,9.0
102,53063.0,9.0
103,21111.0,9.0
104,25009.0,9.0
105,55025.0,9.0
106,55133.0,9.0
107,22109.0,9.0
108,41017.0,9.0
109,21097.0,9.0
110,37101.0,9.0
111,8001.0,9.0
112,49035.0,9.0
113,17089.0,9.0
114,36001.0,9.0
115,56033.0,9.0
116,48439.0,9.0
117,24025.0,9.0
118,1125.0,9.0
119,24031.0,9.0
120,55063.0,9.0
121,39155.0,9.0
122,55079.0,9.0
123,53029.0,9.0
124,13113.0,9.0
125,17111.0,9.0
126,27145.0,9.0
127,22017.0,9.0
128,22051.0,9.0
129,34017.0,10.0
130,12021.0,10.0
131,12109.0,10.0
132,13115.0,10.0
133,31055.0,10.0
134,25027.0,10.0
135,34005.0,10.0
136,12031.0,10.0
137,9003.0,10.0
138,8013.0,10.0
139,24003.0,10.0
140,49043.0,10.0
141,8123.0,10.0
142,51107.0,10.0
143,12101.0,10.0
144,12019.0,10.0
145,34031.0,10.0
146,12057.0,10.0
147,34029.0,10.0
148,23005.0,10.0
149,34025.0,10.0
150,8005.0,10.0
151,13185.0,10.0
152,42029.0,10.0
153,6073.0,10.0
154,39093.0,10.0
155,27123.0,10.0
156,27109.0,10.0
157,28109.0,10.0
158,42101.0,10.0
159,28029.0,10.0
160,39049.0,10.0
161,53031.0,10.0
162,5069.0,10.0
163,55039.0,10.0
164,26161.0,10.0
165,39017.0,10.0
166,42089.0,10.0
167,41051.0,11.0
168,27003.0,11.0
169,39151.0,11.0
170,8107.0,11.0
171,53025.0,11.0
172,6099.0,11.0
173,29077.0,11.0
174,45057.0,11.0
175,30111.0,11.0
176,36091.0,11.0
177,39103.0,11.0
178,56013.0,11.0
179,34021.0,11.0
180,12095.0,11.0
181,8045.0,11.0
182,41059.0,11.0
183,15009.0,11.0
184,55139.0,11.0
185,48339.0,11.0
186,4019.0,11.0
187,18097.0,11.0
188,12097.0,11.0
189,51510.0,11.0
190,12117.0,11.0
191,18067.0,11.0
192,4013.0,11.0
193,36055.0,11.0
194,34019.0,12.0
195,36027.0,12.0
196,28083.0,12.0
197,53073.0,12.0
198,19049.0,12.0
199,40071.0,12.0
200,49057.0,12.0
201,17043.0,12.0
202,42003.0,12.0
203,13077.0,12.0
204,41005.0,12.0
205,24510.0,12.0
206,48201.0,12.0
207,27037.0,12.0
208,39153.0,12.0
209,42041.0,12.0
210,33011.0,12.0
211,37119.0,12.0
212,17027.0,12.0
213,45051.0,12.0
214,45019.0,12.0
215,23001.0,12.0
216,53007.0,12.0
217,6113.0,12.0
218,34027.0,12.0
219,34039.0,12.0
220,1051.0,12.0
221,34035.0,13.0
222,36093.0,13.0
223,27163.0,13.0
224,17203.0,13.0
225,8069.0,13.0
226,39099.0,13.0
227,19153.0,13.0
228,50007.0,13.0
229,12069.0,13.0
230,24017.0,13.0
231,22103.0,13.0
232,21049.0,13.0
233,36007.0,13.0
234,13217.0,13.0
235,49011.0,13.0
236,40027.0,13.0
237,31107.0,13.0
238,13223.0,13.0
239,53077.0,13.0
240,22033.0,13.0
241,12103.0,13.0
242,22057.0,13.0
243,37037.0,13.0
244,27013.0,13.0
245,18063.0,13.0
246,37063.0,13.0
247,40109.0,13.0
248,13117.0,13.0
249,48167.0,13.0
250,48041.0,13.0
251,42017.0,13.0
252,13129.0,13.0
253,6069.0,13.0
254,34007.0,13.0
255,33003.0,13.0
256,28045.0,13.0
257,36083.0,13.0
258,13139.0,13.0
259,23015.0,13.0
260,40049.0,13.0
261,48121.0,13.0
262,28047.0,13.0
263,45013.0,13.0
264,17143.0,13.0
265,34023.0,13.0
266,24027.0,14.0
267,22117.0,14.0
268,27161.0,14.0
269,1089.0,14.0
270,47157.0,14.0
271,55117.0,14.0
272,46005.0,14.0
273,35043.0,14.0
274,36105.0,14.0
275,13095.0,14.0
276,48141.0,14.0
277,23011.0,14.0
278,1081.0,14.0
279,37189.0,14.0
280,50017.0,14.0
281,9009.0,14.0
282,45045.0,14.0
283,50003.0,14.0
284,26147.0,14.0
285,51041.0,14.0
286,29510.0,14.0
287,37085.0,14.0
288,29037.0,14.0
289,31111.0,14.0
290,12073.0,14.0
291,42095.0,14.0
292,26065.0,14.0
293,30049.0,14.0
294,26115.0,14.0
295,38015.0,14.0
296,25001.0,14.0
297,6079.0,14.0
298,26099.0,14.0
299,6083.0,14.0
300,26081.0,14.0
301,18141.0,14.0
302,16013.0,14.0
303,51153.0,14.0
304,13151.0,15.0
305,8087.0,15.0
306,56021.0,15.0
307,55089.0,15.0
308,47065.0,15.0
309,8097.0,15.0
310,36043.0,15.0
311,22121.0,15.0
312,48039.0,15.0
313,51830.0,15.0
314,6053.0,15.0
315,13245.0,15.0
316,20103.0,15.0
317,55111.0,15.0
318,6019.0,15.0
319,28089.0,15.0
320,22055.0,15.0
321,55087.0,15.0
322,36057.0,15.0
323,51199.0,15.0
324,22095.0,15.0
325,45007.0,15.0
326,13177.0,15.0
327,6087.0,15.0
328,27139.0,15.0
329,29051.0,15.0
330,45079.0,15.0
331,38059.0,15.0
332,13059.0,15.0
333,56039.0,15.0
334,13063.0,15.0
335,5023.0,15.0
336,12105.0,15.0
337,48303.0,15.0
338,48309.0,15.0
339,29019.0,15.0
340,42011.0,15.0
341,17201.0,15.0
342,36041.0,15.0
343,48209.0,15.0
344,36067.0,15.0
345,12015.0,15.0
346,8117.0,15.0
347,45063.0,15.0
348,42001.0,15.0
349,12131.0,15.0
350,22019.0,15.0
351,29183.0,15.0
352,4005.0,15.0
353,21199.0,15.0
354,37049.0,15.0
355,10005.0,15.0
356,25023.0,15.0
357,29095.0,15.0
358,21017.0,15.0
359,16001.0,16.0
360,45085.0,16.0
361,47045.0,16.0
362,42125.0,16.0
363,42071.0,16.0
364,42079.0,16.0
365,16081.0,16.0
366,42077.0,16.0
367,13285.0,16.0
368,47013.0,16.0
369,22005.0,16.0
370,18003.0,16.0
371,18019.0,16.0
372,21227.0,16.0
373,13277.0,16.0
374,21117.0,16.0
375,28081.0,16.0
376,47063.0,16.0
377,19013.0,16.0
378,39109.0,16.0
379,53009.0,16.0
380,53005.0,16.0
381,18167.0,16.0
382,51760.0,16.0
383,51710.0,16.0
384,51700.0,16.0
385,40017.0,16.0
386,6029.0,16.0
387,26093.0,16.0
388,31019.0,16.0
389,8019.0,16.0
390,51073.0,16.0
391,26049.0,16.0
392,53039.0,16.0
393,27099.0,16.0
394,2130.0,16.0
395,2122.0,16.0
396,28093.0,16.0
397,28059.0,16.0
398,39041.0,16.0
